COVERED_EVENT_CODE,FAILURE_DESCRIPTIVE_TEXT,CUSTOMER_CASE_NBR,NAME,CREATED_DATE,Unnamed: 5
LQDDMG,Dropped In sink,1E7A2096CA3A09C0ACE34167B7FA16CD,1.10E+11,Sprint,
LOST/UNREC,lost in the bus,1.00E+11,Sprint,22-JUN-17 10.16.28.004000000 PM,
LQDDMG,Dropped in bathtub,4F0D3D4BDD894E09E053A239030AE092,113000000,Sprint,
LOST/UNREC,Fell out of my bag or pocket on a tubing trip somewhere.,1.09E+11,Sprint,11-JUN-17 07.26.51.920000000 PM,
MLFUNC,The phone will not hold a charge. It goes dead in an hour. This has been going on for a few weeks now.,1.04E+11,Sprint,17-MAY-17 02.56.58.910000000 PM,
STOLEN,Stolen at the airport,112679627,Sprint,15-FEB-17 09.37.09.000000000 AM,
CRCKSCRN,"The phone fell from my lap onto concrete ground, with the screen facing down, cracking the screen.",1.01E+11,Sprint,09-JUN-17 10.31.17.794000000 PM,
LOST/UNREC,I lost,1.06E+11,Sprint,07-JUN-17 02.40.58.988000000 PM,
MLFUNC,Phone will not stay charged at all. It will stay on the charger all night and not charge past 85 percent. When taken off the charger it will not stay charged no more than about 30 mins,1E775286A76002F093069355A289BC4E,1.10E+11,Sprint,
LOST/UNREC,lost in the park,1.02E+11,Sprint,20-APR-17 01.59.25.788000000 AM,
STOLEN,Stolen from store,1.06E+11,Sprint,06-JUN-17 10.23.45.505000000 PM,
LOST/UNREC,I was overseas using my device and I dropped it in the Ocean. It is lost forever.,1.07E+11,Sprint,15-JUN-18 12.31.45.351000000 AM,
CRCKSCRN,Screen is cracked and is unreadable.,1.04E+11,Sprint,06-MAY-17 01.53.09.243000000 AM,
CRCKSCRN,Screen cracked,110903600,Sprint,11-JUN-17 10.33.09.707000000 PM,
CRCKSCRN,"cracked screen, touchscreen not working",113262734,Sprint,09-MAY-17 02.21.44.000000000 PM,
MLFUNC,The charging port need to be replaced.,1E7792F4A2A90D209EB865F6B4202010,1.03E+11,Sprint,
LOST/UNREC,i lost my phone at baseball game,1.02E+11,Sprint,16-MAY-17 08.09.41.955000000 PM,
LQDDMG,Liquid spilled om it,4F97BC853B271620E053A439030A4AA2,113000000,Sprint,
LQDDMG,screen my cel phone,1E710CE222A809D1B621005056870405,112000000,Sprint,
LQDDMG,It fell into a sewage drain,112074307,Sprint,24-JUN-17 02.00.53.744000000 AM,
STOLEN,They stole it from my house,1E78101E6B7E00109D8B552A0CBC75AE,1.07E+11,Sprint,
LQDDMG,my device fell into the pool,1.03E+11,Sprint,22-JUN-17 11.44.26.330000000 PM,
LQDDMG,Phone fell onto sidewall when someone hit me and cracked plus water,1E7C186190D90B309A484D2B3FD7E82E,1.07E+11,Sprint,
STOLEN,It was pick out of my back pocket while i was walking around in chicago with my girlfriend,1E77BA239A7D0BF09749005056876829,1.06E+11,Sprint,
LQDDMG,"Creaked screen, water damage, disfunctional",1E76855364BD0DE0BA6ACD1C2659ADFA,1.08E+11,Sprint,
MLFUNC,Phone want charge and the head port not working,1E775574BBAD07309022EBD90A7CE8F5,1.07E+11,Sprint,
LQDDMG,cracked screen device,1E7AD2D444F701008F7867A4C2BE7A05,1.04E+11,Sprint,
LQDDMG,phone fell in a cup of coke.,110302865,Sprint,18-APR-17 06.09.30.554000000 PM,
LQDDMG,It had fallen in the pool,1E7594E502480020ADE6830C20C97074,1.06E+11,Sprint,
LQDDMG,Device has liquid damage,4F97BC83B19B1620E053A439030A4AA2,113000000,Sprint,
STOLEN,Someone picked my phone up in a store,1E778AC0923F09308AF191945196A36F,1.00E+11,Sprint,
LOST/UNREC,"I just lost MyCell, Phone in the Bus...!!",1.05E+11,Sprint,17-MAY-17 01.05.22.505000000 PM,
STOLEN,"I WAS IN THE MALL, WHEN MY CELLPHONE WAS STOLEN.",1E7684563E0D02C0BA6ACD1C2659ADFA,1.01E+11,Sprint,
LOST/UNREC,lost it,1.06E+11,Sprint,09-JUN-17 04.43.40.003000000 PM,
LOST/UNREC,lost it,1.09E+11,Sprint,18-MAY-17 01.03.04.253000000 PM,
LQDDMG,Phone fell at work and it landed in a puddle.,1E7BEF8AD55309A081444F056C8508D1,1.08E+11,Sprint,
LQDDMG,Dropped in toilet,1.04E+11,Sprint,23-JUN-17 03.28.55.775000000 AM,
LOST/UNREC,I went hiking this weekend and it fell in the water,1.10E+11,Sprint,05-JUN-18 02.13.24.268000000 AM,
MLFUNC,"Hard to hear on any body when listening, have to use speaker, while everbody listening to my conversation",1.09E+11,Sprint,04-MAY-17 09.47.55.412000000 AM,
STOLEN,"Went to the store, left it in the bathroom. Went back to the bathroom and it was gone. Tried calling it and it was off.",1E7788D17B8A0C308AF191945196A36F,1.08E+11,Sprint,
STOLEN,Kids phone stolen,1E710CE22ECC0860B621005056870405,112000000,Sprint,
LQDDMG,I received the phone today with the current damage.,1.08E+11,Sprint,18-MAY-17 01.42.27.186000000 AM,
CRCKSCRN,does not hold charge,1.02E+11,Sprint,09-MAY-17 03.24.16.284000000 PM,
CRCKSCRN,Dropped phone and screen cracked,1.09E+11,Sprint,19-APR-17 03.43.17.011000000 AM,
MLFUNC,Phone will not charge unless it is on wireless charger.,1E77DD8E49A600E0A81B0F8C418D0E55,1.02E+11,Sprint,
LOST/UNREC,Lost my cell phone,1.00E+11,Sprint,12-JUN-17 02.45.52.044000000 PM,
STOLEN,On my way to work I was assaulted by two guys with gun,1E768B21406105E0810785C758E8D6B0,1.10E+11,Sprint,
LQDDMG,My buddy flipped over a canoe in the middle of a lake and my phone couldn't swim,1.06E+11,Sprint,18-MAY-17 03.04.47.818000000 PM,
STOLEN,stolen phone,113175816,Sprint,22-JUN-17 11.16.59.081000000 PM,
STOLEN,My phone as stolen in the river park,1E78F10A9533022083D1E3A765DEAA1B,1.09E+11,Sprint,
CRCKSCRN,phone dropped.,113270729,Sprint,11-MAY-17 07.42.51.000000000 AM,
LQDDMG,mineral oil got spilled on device and blurred the screen. where the volume control buttons are there is a bend in the phone. device has problems charging. microphone no longer works when making calls. home button has issues with reading finger print. possible other problems that need to be checked,1E7AD198B8DC00808E36411016DF8DEF,1.07E+11,Sprint,
STOLEN,Stolen off table,1E787763C93C0F60BA8F5D6040F95A12,1.03E+11,Sprint,
STOLEN,stolen,1E77E233E0F103609749005056876829,1.05E+11,Sprint,
LOST/UNREC,lost,1.09E+11,Sprint,09-JUN-17 02.41.14.620000000 PM,
LOST/UNREC,I lost my phone while working out at the fitness club.,1.03E+11,Sprint,18-MAY-17 04.10.33.922000000 AM,
CRCKSCRN,phone slid off car seat and hit the door frame of car,1.03E+11,Sprint,04-MAY-17 12.48.06.888000000 AM,
MLFUNC,"i had it bluetooth into my stereo in the garage, it was inside the house for better wireless reception. music cut off so i figured i was getting a call, walked in and tried to turn screen on. it just flashes and spazzes out never really coming on. i can still answer calls if i get in the general area of where the button would be.",1.00E+11,Sprint,12-JUN-17 05.30.55.983000000 PM,
STOLEN,My car was broken into and my phone was stolen,1E77EE52AB440FC09D8B552A0CBC75AE,1.08E+11,Sprint,
LOST/UNREC,lost,1.05E+11,Sprint,08-MAY-17 06.08.21.360000000 PM,
CRCKSCRN,I was walking out to my car and went to grab something out of my pocket and the phone fell out it landed on the corner and cracked the screen,1.05E+11,Sprint,18-MAY-17 09.54.53.214000000 PM,
LOST/UNREC,my phone got lost,1.06E+11,Sprint,12-JUN-17 05.46.46.411000000 PM,
MLFUNC,"Started losing service last week for no reason, then was unable to update without an error message. Powers on but will not take an update. Tried Factory Reset, still won't respond",1E77683D14400A209022EBD90A7CE8F5,1.01E+11,Sprint,
CRCKSCRN,I was standing up and the phone slipped out of my hand and fell to the floor.,112407369,Sprint,22-MAY-17 09.38.34.214000000 PM,
CRCKSCRN,Dropped my phone on the concrete and my screen cracked.,1.05E+11,Sprint,06-JUN-17 05.43.52.276000000 PM,
MLFUNC,"It will not turn on, need replacement sent, headphones wont work.",1E7784A87F470F308AF191945196A36F,1.03E+11,Sprint,
LQDDMG,I lost it on the way to the movies with my family.,1E78ECD677010CD0876407ADB22F13A2,1.08E+11,Sprint,
MLFUNC,phone broke. what more do you need to know? nothing. youre still gonna charge me a car payment to replace it.,1.02E+11,Sprint,22-JUN-17 10.54.21.466000000 PM,
CRCKSCRN,Powered on and had lines going through screen,1.09E+11,Sprint,17-APR-17 09.53.25.344000000 PM,
STOLEN,stolen my phone device please send my phone,1.01E+11,Sprint,07-JUN-17 11.48.02.840000000 PM,
MLFUNC,Won't power on past the apple logo,1E77EC28D3D207C09D8B552A0CBC75AE,1.01E+11,Sprint,
CRCKSCRN,Phone was dropped and cracked screen is pressing multiple apps at ones. And phone says no service or searching .,1.09E+11,Sprint,03-MAY-17 11.22.37.393000000 PM,
LOST/UNREC,My phone was lost on the way home while I got off the bus,1.04E+11,Sprint,07-JUN-17 12.00.17.493000000 AM,
CRCKSCRN,dropped and screen cracked,113244311,Sprint,05-MAY-17 09.48.53.000000000 PM,
LOST/UNREC,Misplaced missing,1.08E+11,Sprint,19-APR-17 02.29.59.469000000 AM,
LQDDMG,"Dropped in puddle while on nature walk. Swapped out device with my dad's old phone. Would like to repair mine, please. Thanks, Bethany",1E79F8DBB9D401E0ACE34167B7FA16CD,1.02E+11,Sprint,
CRCKSCRN,"Phone will not turn on, freezes when try to reset and will not do a reboot. took it to repair store got a ticket to do claim because can not to fixed",1.06E+11,Sprint,05-MAY-17 04.29.29.135000000 PM,
STOLEN,my cell phone get lost on the bus,1E764BAE099300C08B25032359AC638B,1.03E+11,Sprint,
LOST/UNREC,lost it,1.07E+11,Sprint,08-JUN-17 08.31.17.696000000 PM,
CRCKSCRN,I drop the phone and the screen broke and now dosnt work,1.03E+11,Sprint,19-APR-17 08.34.03.236000000 PM,
LQDDMG,the screen is liquid damage,1.06E+11,Sprint,23-MAY-17 04.22.37.481000000 PM,
STOLEN,my was cell stolen,1E78C47040F20EC09C9A0F0CB0D3C9DA,1.06E+11,Sprint,
CRCKSCRN,Screen cracked cant be repaired,112993406,Sprint,15-APR-17 11.22.44.280000000 PM,
LQDDMG,a glass of water spilled on it and battery wont charge,52932149EE4656D6E053A239030A7EAF,112000000,Sprint,
MLFUNC,stopped letting me make calls and now i cant connect to the internet even when i use wifi,1E77B8C8381C0FD09EB865F6B4202010,1.10E+11,Sprint,
LQDDMG,Fell into bathtub,4F97BC84F47E1620E053A439030A4AA2,113000000,Sprint,
CRCKSCRN,Dropped my phone and the screen is shattered.,1.05E+11,Sprint,12-JUN-17 09.18.00.834000000 PM,
MLFUNC,"The tablet will not charge pass 0%, it will stay on when plugged in",1.03E+11,Sprint,28-MAR-17 06.10.23.295000000 PM,
LOST/UNREC,I sat it down playing basketball and went back I couldn't find it,1.04E+11,Sprint,11-JUN-17 06.21.31.771000000 PM,
LOST/UNREC,May have left at gas station,1.07E+11,Sprint,05-MAY-17 10.56.23.501000000 PM,
CRCKSCRN,cracked screen when it fell onto concrete,1.10E+11,Sprint,12-JUN-17 06.22.12.570000000 PM,
LOST/UNREC,i lost my phone in the taxi,112679600,Sprint,04-MAY-17 10.47.17.349000000 PM,
LQDDMG,The phone fell into the toilet.,1E7AA01B31DE06E0B667005056876829,1.05E+11,Sprint,
LQDDMG,Pushed into a pool with phone in pocket. Phone no longer turns on.,1E7A6F7865320BA0953F613EFB8DD3EC,1.01E+11,Sprint,
STOLEN,A guy stole my phone while i was driving home from work,1E77E182921402D083AAE7E94412AE67,1.09E+11,Sprint,
MLFUNC,When Bluetooth is connected audio is not heard by the person on the receiving end of the call.,1.08E+11,Sprint,16-MAY-17 11.03.01.522000000 PM,
MLFUNC,"my touchscreen just stopped working i can not answer calls check facebook, text messages, basically touch screen no longer allows me to use it.",1E77C39500A10E709EB865F6B4202010,1.00E+11,Sprint,
STOLEN,It was in my wife pocket or the strollers pocket and someone took it in Barcelona Spain,1E74167B53A1091088AD005056873580,1.09E+11,Sprint,
LOST/UNREC,The phone was in a car that was wrecked. It cannot be retrieved.,1.08E+11,Sprint,06-JUN-18 04.06.10.662000000 PM,
LOST/UNREC,i was shopping when i forgot the phone in the fitting room,1.08E+11,Sprint,22-JUN-17 10.49.28.870000000 PM,
STOLEN,My purse was jacked from an accident in my car happened in Vieques PR case number 2017-12-076-01400,4D15892DB9E51EB6E053A239030A9985,113000000,Sprint,
STOLEN,I was at Lollapalooza in Chicago at Perry's Stage and it got stolen from me in the crowd.,4D15892A671D1EB6E053A239030A9985,111000000,Sprint,
LOST/UNREC,lost in the mall,1.01E+11,Sprint,22-JUN-17 10.09.34.084000000 PM,
MLFUNC,The phone is stuck on apple boot logo.,1E77DFA16D8000009D8B552A0CBC75AE,1.09E+11,Sprint,
CRCKSCRN,"I am a rancher, while riding my horse, it went to bucking, the phone came out of my pocket and rolled down a rocky embankment.",1.07E+11,Sprint,18-APR-17 05.48.40.054000000 PM,
CRCKSCRN,Tripped and Fell and smashed screen on phone,1.05E+11,Sprint,14-APR-17 10.26.24.557000000 PM,
MLFUNC,"Charging port is malfunctioning. Made sure my charging cords are working by connecting them to other iPhones. Also tried charging this iPhone on other working charging cords, same problem: cannot charge/comes loose.",1E77C9D5D5CC0500924D03A2F89DC9E9,1.08E+11,Sprint,
MLFUNC,"The battery was low, went to charge it and now the screen is completely black, ive talked to a tech and they could not get it to work either.",1E77EAFD68290C70A81B0F8C418D0E55,1.09E+11,Sprint,
LOST/UNREC,Used phone while shopping at fridley Target and must have dripped out of pocket and when wenr to use again could nor find it. Reteaced steps and notified customer service,1.00E+11,Sprint,06-MAY-17 04.20.06.978000000 PM,
LOST/UNREC,i was on waching movie with my family yesterday i have my phone on my pants i went o the bathroom on the cinemax when i come back to the room i dint founded my phone,1.08E+11,Sprint,23-JUN-17 10.35.20.428000000 PM,
CRCKSCRN,have dropped phone and have multiple cracks of screen also menu lower left recent app button does not work,1.06E+11,Sprint,16-MAY-17 03.06.07.790000000 AM,
STOLEN,I work at the gas station so I leave my phone behind the Counter and I go inside the cooler to fill up stuff then I come-back I don't see my phone also my Cao worker didn't see my phone !!!,1E77D5646E820D50924D03A2F89DC9E9,1.10E+11,Sprint,
MLFUNC,The screen is completely black I cannot see anything I can only hear it vibrate but I can't see anything. I can't make or answer any calls due to the screen being black,1E778BF2E2CE03F08AF191945196A36F,1.10E+11,Sprint,
LOST/UNREC,I lost my phone last nigth,1.08E+11,Sprint,09-MAY-17 03.32.22.070000000 PM,
MLFUNC,Phone has touch screen issues,1.00E+11,Sprint,16-MAY-17 12.17.08.974000000 AM,
LOST/UNREC,It dropped into the bay,1.07E+11,Sprint,18-JUN-18 07.06.10.214000000 PM,
CRCKSCRN,Phone been acting up since I purchased it now it's cracked and won't stay charged,1.00E+11,Sprint,08-MAY-17 08.56.34.531000000 PM,
STOLEN,PHONE WAS STOLEN,1E70C4F3461E04F09A08005056870405,112000000,Sprint,
LOST/UNREC,LOST IN TAXI,1.01E+11,Sprint,15-JUN-17 10.55.05.040000000 PM,
LOST/UNREC,im lost my phone in the gym,1.08E+11,Sprint,06-JUN-17 05.49.17.242000000 PM,
CRCKSCRN,"I thought that i lost my phone and started a claim yesterday, then my girlfriend found it broken at her house, and she got hold of me on my new S8.. :(",1.02E+11,Sprint,07-JUN-17 03.08.05.524000000 AM,
LQDDMG,"We went out that day and we lost the phone , and then we went back later in the day to the same place that we lost the phone , we found the phone but there was water on it ans it's not working anymore.",1.04E+11,Sprint,20-APR-17 11.01.56.003000000 PM,
LOST/UNREC,Toddler lost iPad,1.10E+11,Sprint,18-MAR-17 11.52.17.869000000 AM,
LOST/UNREC,I left the phone in the restroom and it's some where missing in the Lenox mall.,1.09E+11,Sprint,17-APR-17 11.02.10.794000000 PM,
LQDDMG,The iPhone screen is cracked and rain got in it when it was in my pocket and now the phone won't turn on.,1E76A529D03E0470838BD33A65D4500C,1.03E+11,Sprint,
CRCKSCRN,Dropped my phone while working which caused my screen to crack.,1.09E+11,Sprint,10-JUN-17 12.12.28.118000000 PM,
MLFUNC,It's not charging properly. I already did a hard reset with Apple and it's still not operating properly. The phone is killing all the Apple chargers.,1E757C8C315503C0B53FAB11709CA4EE,1.09E+11,Sprint,
LOST/UNREC,lost,1.04E+11,Sprint,06-JUN-17 01.37.34.465000000 AM,
STOLEN,my device was stolen at the park,1E789D3CA47B001097A6B3DC66175081,1.08E+11,Sprint,
LOST/UNREC,lost it,1.06E+11,Sprint,23-JUN-17 10.47.15.665000000 PM,
MLFUNC,Well it's stay with a blank screen and turn off,1E7760E0F8470C5093069355A289BC4E,1.04E+11,Sprint,
LOST/UNREC,I lost my phone,112755943,Sprint,23-JUN-17 09.40.45.440000000 PM,
LOST/UNREC,I Lost,1.05E+11,Sprint,09-JUN-17 10.57.04.830000000 PM,
MLFUNC,The screen isn't working properly and device is getting hot,1E778C400CBD01508AF191945196A36F,1.08E+11,Sprint,
STOLEN,i have a Police report,1E744D4E3C7B01009F090928BF24D5BE,1.01E+11,Sprint,
STOLEN,"I was at menards store, place my phone on top of a lumber and when I looked it was gone.",1E780270166700609D8B552A0CBC75AE,1.06E+11,Sprint,
STOLEN,My device was stolen in the street,1E756D48E98409D08342358136EAF9A1,1.05E+11,Sprint,
STOLEN,I forgot in in a store and when I came back for it a few seconds later it was gone.,1E70C4F6312D0DE1890C005056870405,112000000,Sprint,
LQDDMG,damaged touch screen,1.04E+11,Sprint,24-JUN-17 12.21.09.322000000 AM,
CRCKSCRN,My phone fell out of my bag on to the ground and broke.,1.04E+11,Sprint,14-APR-17 07.28.15.756000000 PM,
STOLEN,stolen,1E77EAD2A8A70B109D8B552A0CBC75AE,1.05E+11,Sprint,
CRCKSCRN,Phone was on my lap while I stepped out of my vehicle without realizing-fell onto the concrete and shattered the screen.,1.06E+11,Sprint,17-MAY-17 10.05.32.661000000 PM,
LQDDMG,Phone fell and got run over so screen cracked and phone warped.,1E7A93DD5F6A05E0A65E8764A70A9DF7,1.10E+11,Sprint,
STOLEN,At The supermarket while Doing House ShoPping With my kids someone stole it of My bag tried to go To the securitY system and was no help.,1E78DD210C4F0000B6490FDA409B0CBF,1.09E+11,Sprint,
LQDDMG,fell in sink,1E797249382F0720B5E00F1C213CED6F,1.08E+11,Sprint,
LOST/UNREC,i lost my phone during travel from milwaukee to sacramento,113165828,Sprint,22-APR-17 04.22.56.000000000 PM,
STOLEN,My apartment was burglarized,1E796377537D0350864E1920E4BB80E3,1.07E+11,Sprint,
LOST/UNREC,lost in taxi,1.04E+11,Sprint,22-JUN-17 10.23.28.013000000 PM,
CRCKSCRN,Dropped phone on side walk,1.06E+11,Sprint,18-APR-17 06.49.42.929000000 PM,
STOLEN,Someone broke into my car and stole my IPhone.,111829934,Sprint,22-JUN-17 10.54.28.611000000 PM,
LQDDMG,"It rained on the phone, && I tried soaking in rice and it�s still semi damaged on and off",1E7B5BB8D60C02909ECA3FB8FCCA82D7,1.10E+11,Sprint,
MLFUNC,"The phone will not charge, the phone recycles to start",1E77D35E46A20630924D03A2F89DC9E9,1.06E+11,Sprint,
MLFUNC,I was at work when this occurred. I am a plumber and while i was working i accidentally dropped my phone in a man hole and when i went down to pick it up i saw that there was no damage but my screen remains pitch black.,1E77D4A4BD1C04E0AC3EE155FF93531E,1.04E+11,Sprint,
CRCKSCRN,Phone dropped and screen cracked,1.09E+11,Sprint,22-JUN-17 10.17.09.861000000 PM,
CRCKSCRN,The phone fell out of a pocket and hit the concrete,1.00E+11,Sprint,14-APR-17 06.13.12.402000000 PM,
LOST/UNREC,my phone was lost help me please,1.03E+11,Sprint,07-JUN-17 04.35.08.090000000 PM,
MLFUNC,Screen just went blank,1E7764F6DDA00C7093069355A289BC4E,1.07E+11,Sprint,
MLFUNC,sounds very low,1E778C06983305709749005056876829,1.06E+11,Sprint,
CRCKSCRN,"The top left corner of my IPhone 7 has a small, hairline crack on it, even after I had an otter box case on it, which is supposed to protect it. the damage is extremely minor, and does not block the viewing of my screen.",1.03E+11,Sprint,11-JUN-17 09.11.12.631000000 PM,
LOST/UNREC,My phone fell out of my dashboard while I took a turn and got run over,1.07E+11,Sprint,15-JUN-18 11.18.05.366000000 PM,
STOLEN,"The phone was stolen from me at a grocery store in Loganville, Ga. We tracked it to an address a few towns away. We can no longer track the phone. Assuming it was turned off or destroyed.",4C4CB9ADC0E548D6E053A239030ADF20,113000000,Sprint,
LQDDMG,liquid damage,1E7A455B3E580B709953EBE72CC10054,1.04E+11,Sprint,
MLFUNC,"A lot is wrong with my iPhone 6. There is a crack in the screen, the home button doesn't work, and it doesn't connect to wifi or my bluetooth speaker unless I'm in very close proximity.",1.10E+11,Sprint,12-JUN-17 06.03.47.709000000 PM,
LOST/UNREC,I dont have phone please help me,1.09E+11,Sprint,07-JUN-17 11.57.19.686000000 PM,
LOST/UNREC,lost in the street,1.09E+11,Sprint,18-MAY-17 04.43.29.754000000 PM,
STOLEN,I set my phone down to wash my handz in a public restroom went into a stall to get tissue and came out and phone was stolen.,1.08E+11,Sprint,03-MAY-17 11.22.07.442000000 PM,
CRCKSCRN,Phone slipped out of pocket and fell to floor...,1.09E+11,Sprint,15-APR-17 05.57.42.852000000 PM,
CRCKSCRN,Phone was hit with a pair of headphones and the screen cracked,1.09E+11,Sprint,09-MAY-17 04.43.15.030000000 AM,
CRCKSCRN,Dropped out of pocketbook,1.03E+11,Sprint,09-JUN-17 12.50.04.753000000 AM,
STOLEN,stolen in the mall,1.04E+11,Sprint,08-JUN-17 06.55.14.151000000 PM,
LOST/UNREC,im lost my phone in the park,1.10E+11,Sprint,09-JUN-17 01.07.26.345000000 AM,
LOST/UNREC,I was riding a motorcycle and it looks like the phone fell to me and I can not find it,1.06E+11,Sprint,22-JUN-17 11.57.47.566000000 PM,
MLFUNC,"phone got dropped, screen froze, then went green then black, not responsive after that",1.04E+11,Sprint,09-JUN-17 05.12.58.470000000 AM,
MLFUNC,"phone has started to stop charging, the screen malfunctions, its not sensitive to touch",1E777DCAA96A07C091DF0DD2CB023898,1.09E+11,Sprint,
LOST/UNREC,Lost in bus,1.07E+11,Sprint,08-MAY-17 07.43.41.335000000 PM,
MLFUNC,Phone want make or receive calls. Says mobile network unavailable when I call out and it goes straight to voucemail when I try to call the phone.,1.01E+11,Sprint,09-JUN-17 07.51.17.694000000 PM,
LQDDMG,"My phone was dropped and the screen shattered but it was still useable. Then a little water got on it and made half the screen go fuzzy, then the whole screen quit working",111598759,Sprint,23-APR-17 01.25.19.519000000 PM,
LOST/UNREC,I got lost in the park,1.05E+11,Sprint,19-APR-17 01.51.10.018000000 AM,
LQDDMG,I shut up my cell phone in the jacuzzi,1.05E+11,Sprint,06-APR-17 05.29.29.638000000 PM,
LOST/UNREC,Lost it on my way home yesterday morning,1.07E+11,Sprint,16-MAY-17 02.23.58.038000000 PM,
MLFUNC,"display not working (blank, blurry, bleeding), software issues, charging / power issues",113268751,Sprint,10-MAY-17 05.02.09.000000000 PM,
MLFUNC,The phone does not respond to touching. The phone is NOT cracked or broken in anyway.,1.08E+11,Sprint,17-MAY-17 08.15.04.215000000 PM,
MLFUNC,"The camera will not focus and is taking blurry pictures and video. The charging port is also not working properly and the chord must constantly be adjusted to charge, and stops charging if moved at all.",1E774BFEA3BE09A093069355A289BC4E,1.06E+11,Sprint,
STOLEN,stolen in the bus,1.06E+11,Sprint,16-APR-17 03.01.14.267000000 PM,
LOST/UNREC,device was lost.,1.05E+11,Sprint,15-APR-17 08.14.47.860000000 PM,
LOST/UNREC,LOST MY DEVICE AT PARKING MALL,1.04E+11,Sprint,23-JUN-17 09.55.16.959000000 PM,
MLFUNC,Phone stopped working. Went to Sprint. Recently went to Ohio and store clerk claimed the change in climate may be the issue,1.06E+11,Sprint,16-APR-17 05.11.10.287000000 PM,
MLFUNC,Device is freezing and both speakers are very staticky,1E77D6ADAC350810924D03A2F89DC9E9,1.06E+11,Sprint,
MLFUNC,Device will not hold charge and screen is constantly frozen,1E77921F55590DC09EB865F6B4202010,1.06E+11,Sprint,
MLFUNC,The on button just stopped working,1E77D5F650AC0820AC3EE155FF93531E,1.07E+11,Sprint,
CRCKSCRN,Dropped the phone outside and the screen shattered,1.05E+11,Sprint,07-JUN-17 04.19.05.493000000 AM,
CRCKSCRN,Fell of my lap at work,1.00E+11,Sprint,04-MAY-17 11.05.15.154000000 PM,
STOLEN,somepeople took my device in the gym early,1.01E+11,Sprint,07-JUN-17 11.19.01.185000000 PM,
CRCKSCRN,Dropped my phone,1.06E+11,Sprint,17-MAY-17 11.39.26.381000000 PM,
CRCKSCRN,DROP IT,1.05E+11,Sprint,22-MAR-17 06.45.40.845000000 PM,
STOLEN,Someone Stolen my cellphone device,4D15892DD4EC1EB6E053A239030A9985,113000000,Sprint,
CRCKSCRN,"took of my case off to clean it, forgot to put it back on. dropped my phone on some rocks and then on some tile, some glass peices ended falling out",1.04E+11,Sprint,20-APR-17 12.29.52.552000000 AM,
STOLEN,Person who was on my plan was using the phone. They were asked to return the phone and they did not. They took the phone with them and never returned it. I reported it stolen with Sprint but was not able to submit a claim because I could not afford the deductible.,1E78357CC1E908409D8B552A0CBC75AE,1.06E+11,Sprint,
STOLEN,"IPad was in car, the car was in an accident and while the car was unattended someone went through the car and stole the IPad alont with other belongings. When we tried locating the device on find my iphone it was offline.",1E7816AA534603C09D8B552A0CBC75AE,1.07E+11,Sprint,
STOLEN,my phone was stolen yesterday when I was buying clothes at the mall for someone who grabbed my bag and ran,1.06E+11,Sprint,12-JUN-17 07.26.06.170000000 PM,
STOLEN,it was stolen while I was at a Walmart,1E78901630D00620BE7D005056876829,1.01E+11,Sprint,
LOST/UNREC,I lost my phone on the street,1.03E+11,Sprint,18-APR-17 11.36.52.245000000 PM,
LQDDMG,my is missing pieces and bent frame holes in my phone and my phone is wet corrosion.,1E70C4F1EA1F0651BEF0005056870405,112000000,Sprint,
STOLEN,"not sure if it was stolen, but i went for a run and left my phone and my water bottle on my car. I forgot about my phone and when i got back from my run my phone was gone.",1E775B5E93FC039093069355A289BC4E,1.07E+11,Sprint,
STOLEN,I had a family member on my account they took the device to another carrier without my consent,1E77B76D14AD08309EB865F6B4202010,1.02E+11,Sprint,
LOST/UNREC,i was on the train and i lost my package with my phone inside,1.03E+11,Sprint,06-JUN-17 01.03.56.076000000 AM,
MLFUNC,Not charging,1.03E+11,Sprint,26-APR-17 01.43.34.785000000 AM,
STOLEN,"I WAS VICTIM SOMEONE STOLEN ME , WHEN I COME FROM MY JOB WITH MY FRIEND..",1E78C540210605A0B6490FDA409B0CBF,1.06E+11,Sprint,
STOLEN,Stolen at sporting good store,1E747A9DAFC60A708CC991FAA6D35BED,1.09E+11,Sprint,
LQDDMG,Liquid damaged,1E794EE45F8F03C0995C005056876829,1.02E+11,Sprint,
STOLEN,phone was stolen,1E77BA239A7D0BF09749005056876829,1.06E+11,Sprint,
STOLEN,It was sitting in my bed room then I noticed it was missing,1E776A8CCFB6042093069355A289BC4E,1.04E+11,Sprint,
LQDDMG,drop into water,1.07E+11,Sprint,04-MAY-17 03.56.04.765000000 AM,
LOST/UNREC,I lost my phone on the station id the bus.,1.05E+11,Sprint,06-JUN-17 06.21.35.187000000 AM,
CRCKSCRN,my phone slipped out of my pocket as i was getting out of my computer chair it fell about 2.5 feet and hit the floor,1.03E+11,Sprint,10-JUN-17 04.04.46.254000000 AM,
LQDDMG,Corners of the screen are cracked and won�t charge because it says moisture in charger,1E7899E375D500F08CEE0050568721EC,1.09E+11,Sprint,
STOLEN,"I was in a dressing room and when I went back, my phone was gone.",1E710CE230750540B621005056870405,112000000,Sprint,
MLFUNC,"Showed high temperature, placed inside and now will not turn on or reset. Tried to restore settings and will not connect with I tones.",111663676,Sprint,08-JUN-17 03.47.14.373000000 AM,
